batch	object	n_frames	mesh	gt_dir	gt_render_dir
D	goat_burnt	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_burnt/mesh/goat_burnt_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_burnt/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_goat_burnt/frames
D	goat_flower	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_flower/mesh/goat_flower_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_flower/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_goat_flower/frames
D	goat_clay	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_clay/mesh/goat_clay_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/goat_clay/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_goat_clay/frames
E	ivysaur_petal	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ivysaur_petal/mesh/ivysaur_petal_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ivysaur_petal/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_ivysaur_petal/frames
E	ivysaur_petal_2	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ivysaur_petal_2/mesh/ivysaur_petal_2_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ivysaur_petal_2/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_ivysaur_petal_2/frames
E	blub_raurshaw	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/blub_raurshaw/mesh/blub_raurshaw_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/blub_raurshaw/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_blub_raurshaw/frames
E	blub_drying	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/blub_drying/mesh/blub_drying_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/blub_drying/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_blub_drying/frames
E	pegasus_shine	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pegasus_shine/mesh/pegasus_shine_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pegasus_shine/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_pegasus_shine/frames
E	pegaso_effect_1	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pegaso_effect_1/mesh/pegaso_effect_1_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pegaso_effect_1/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_pegaso_effect_1/frames
E	mosaic_painting	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/mosaic_painting/mesh/mosaic_painting_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/mosaic_painting/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_mosaic_painting/frames
